Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Feb;General;Baja;Otros;Público;BTCGCD38 (BT / Otros con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGSD08 (BT / Otros);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGSD12 (BT / Escenarios Deportivos);11;0,51;57,67;14;1,68;160,31;0;0,00;0,00;0;0,00;0,00;1;1,13;80,51;8;2,05;188,87;11;2,66;246,81;1;0,28;24,12;11;12,84;1.193,04;11;1,43;135,16;6;0,88;84,44
Feb;Residencial;Baja;Residencial;Público;BTCRSD02 (BT / Residencial Temporal);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;6;0,88;121,02;0;0,00;0,00;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGSD13 (BT / Bombeo de Agua);16;3,27;277,32;1;0,00;1,41;3;2,56;209,84;1;3,34;293,79;0;0,00;0,00;7;4,75;390,85;14;14,25;1.182,79;31;27,93;2.298,79;5;4,95;401,66;28;28,32;2.353,53;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGCD12 (BT / Ocasional);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGSD11 (BT / Servicio Comunitario);0;0,00;0,00;2;0,17;16,68;5;0,62;57,65;17;8,33;789,09;10;13,23;1.227,84;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;0,00;1,41;1;0,00;1,41;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGCD11 (BT / Servicio Comunitario con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;8;19,62;1.967,82;2;0,53;145,73;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGCD36 (BT / Escenarios Deportivos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;5;11,57;1.402,73
Feb;General;Baja;Otros;Público;BTCGCD39 (BT / Servicio Comunitario con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;Residencial;Baja;Residencial;Público;BTCRSD01 (BT / Residencial);0;0,00;0,00;42;8,05;849,74;678;134,81;14.341,34;193;58,26;6.463,56;217;25,69;2.759,78;2;0,21;22,21;270;68,88;10.988,80;9;1,52;163,76;146;21,73;2.330,18;109;11,19;1.230,03;0;0,00;0,00
Feb;General;Baja;Otros;Público;BTCGCD41 (BT / Vehículos Eléctricos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Media;Otros;Público;MTCGCD05 (MT / Abonados Especiales con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Media;Otros;Público;MTCGCD06 (MT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Media;Otros;Público;MTCGCD07 (MT / Asistencia Social con Demanda);14;104,45;7.885,57;18;25,51;1.986,24;17;129,44;10.368,27;27;430,35;30.956,20;26;278,49;21.270,02;27;248,42;18.983,94;38;121,81;9.900,73;9;209,38;15.367,10;13;392,33;29.018,05;15;127,52;9.673,24;0;0,00;0,00
Feb;General;Media;Otros;Público;MTCGCD08 (MT / Asistencia Social con Demanda Horaria);0;0,00;0,00;34;1.311,66;89.335,32;8;711,58;47.332,73;19;5.690,22;347.215,76;3;59,43;4.060,51;3;453,13;30.636,22;18;524,62;36.683,09;1;350,00;23.624,21;0;0,00;0,00;9;572,57;38.566,17;7;188,84;13.140,29
Feb;General;Media;Otros;Público;MTCGCD09 (MT / Beneficio Público con Demanda);34;79,01;6.143,24;44;70,10;5.106,39;54;262,09;21.758,88;56;1.082,14;77.863,35;62;399,72;33.136,99;28;66,94;5.741,19;124;184,55;16.665,69;14;286,71;23.572,93;20;77,44;6.968,52;34;173,41;13.320,70;0;0,00;0,00
Feb;General;Media;Otros;Público;MTCGCD10 (MT / Beneficio Público con Demanda Horaria);0;0,00;0,00;41;359,26;27.034,11;4;3,23;666,75;21;1.713,44;109.339,55;5;548,21;31.445,04;1;33,11;2.366,24;19;732,61;53.101,71;0;0,00;0,00;0;0,00;0,00;3;35,25;2.602,05;10;101,77;7.209,68
Feb;General;Media;Otros;Público;MTCGCD30 (MT / Bombeo de agua comunidades campesinas);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;0,40;17,56;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;7,52;302,32;0;0,00;0,00;0;0,00;0,00
Feb;General;Media;Otros;Público;MTCGCD11 (MT / Bombeo de Agua con Demanda);0;0,00;0,00;2;0,10;61,61;44;181,31;19.126,03;0;0,00;0,00;180;1.196,53;99.441,01;67;838,38;66.829,58;27;57,99;5.117,56;31;809,03;57.195,56;7;34,39;3.029,64;36;280,09;22.665,69;0;0,00;0,00
Feb;General;Media;Otros;Público;MTCGCD12 (MT / Bombeo de Agua con Demanda Horaria);0;0,00;0,00;1;31,35;2.203,85;4;328,94;24.159,04;2;2,09;340,13;8;52,57;5.007,34;1;0,00;5,99;29;357,40;29.388,81;0;0,00;0,00;7;1.538,53;108.600,05;0;0,00;0,00;3;35,21;2.763,47
Feb;General;Media;Comercial;Público;MTCGCD01 (MT / Comercial con Demanda);0;0,00;0,00;5;4,76;464,06;6;14,68;1.781,98;6;74,49;8.000,38;10;63,13;7.636,06;4;4,33;664,61;16;39,30;4.784,10;6;53,86;6.176,51;0;0,00;0,00;2;7,01;774,84;0;0,00;0,00
Feb;General;Media;Comercial;Público;MTCGCD02 (MT / Comercial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;2,45;250,03;1;0,00;1,41;7;143,20;14.449,71;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Feb;General;Media;Otros;Público;MTCGCD13 (MT / Entidades Oficiales Con Demanda);96;210,31;18.895,94;212;288,08;24.374,70;174;1.130,90;107.116,88;179;3.224,44;247.167,68;314;1.830,22;170.948,75;136;569,34;54.449,47;494;1.521,59;141.987,77;35;469,60;40.651,98;176;1.524,47;143.564,53;119;577,49;53.779,14;0;0,00;0,00
Feb;General;Media;Otros;Público;MTCGCD14 (MT / Entidades Oficiales Con Demanda Horaria);0;0,00;0,00;154;1.947,99;159.331,43;12;389,00;33.046,66;129;6.915,70;478.132,28;9;128,32;12.355,87;6;115,96;9.134,81;121;2.547,48;205.599,81;1;131,05;10.210,87;2;222,58;17.680,37;39;1.928,11;148.108,65;30;1.203,15;97.484,50
Feb;General;Media;Otros;Público;MTCGCD15 (MT / Escenarios Deportivos con Demanda);2;0,32;91,57;4;0,88;72,62;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;6;13,90;1.435,97;4;1,27;238,57;0;0,00;0,00;6;3,34;1.108,01;1;3,36;359,58;0;0,00;0,00
