Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Ago;General;Media;Otros;Público;MTCGCD09 (MT / Beneficio Público con Demanda);35;95,61;7.663,17;32;54,51;4.301,79;54;352,37;28.195,26;58;1.277,00;88.970,89;63;497,41;40.162,36;27;110,49;8.889,48;218;523,78;43.404,56;13;347,28;27.298,94;19;81,47;6.425,09;35;167,23;13.113,32;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD10 (MT / Beneficio Público con Demanda Horaria);0;0,00;0,00;44;495,32;36.595,33;4;7,74;871,27;21;2.221,21;141.317,07;4;54,55;3.858,52;1;44,65;3.182,16;21;923,67;67.212,78;0;0,00;0,00;0;0,00;0,00;3;48,63;3.646,92;10;96,70;6.881,80
Ago;General;Media;Otros;Público;MTCGCD30 (MT / Bombeo de agua comunidades campesinas);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;0,30;13,36;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;11,58;464,44;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD11 (MT / Bombeo de Agua con Demanda);0;0,00;0,00;2;0,13;63,22;42;197,70;20.909,41;0;0,00;0,00;182;1.272,43;102.904,87;66;1.154,37;89.655,31;58;82,23;8.115,96;28;806,97;56.908,31;7;31,08;2.502,19;35;290,08;22.679,43;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD12 (MT / Bombeo de Agua con Demanda Horaria);0;0,00;0,00;1;42,29;2.744,55;4;376,25;26.798,15;0;0,00;0,00;8;52,90;6.049,72;1;0,00;5,99;54;591,64;47.123,90;0;0,00;0,00;7;1.745,64;119.240,04;0;0,00;0,00;3;29,92;2.310,92
Ago;General;Media;Comercial;Público;MTCGCD01 (MT / Comercial con Demanda);0;0,00;0,00;0;0,00;0,00;6;15,92;1.922,16;6;76,65;8.226,76;11;69,67;8.315,49;4;4,93;720,19;24;263,78;29.051,23;6;51,83;5.912,61;0;0,00;0,00;2;9,59;1.053,29;0;0,00;0,00
Ago;General;Media;Comercial;Público;MTCGCD02 (MT / Comercial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;3,51;337,42;1;0,00;1,41;8;184,52;18.649,58;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD13 (MT / Entidades Oficiales Con Demanda);96;206,55;18.634,17;194;306,46;28.275,93;172;1.446,60;131.362,12;177;3.616,90;273.080,04;321;2.023,46;184.841,89;136;656,92;60.484,07;511;1.764,61;161.697,45;36;492,22;42.124,35;172;1.459,82;134.557,70;118;660,59;60.024,02;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD14 (MT / Entidades Oficiales Con Demanda Horaria);0;0,00;0,00;153;1.895,83;157.015,35;12;477,05;39.910,30;128;7.647,26;521.032,61;9;160,56;14.007,44;6;134,06;10.355,30;119;2.776,05;220.640,18;1;148,79;12.123,56;2;223,45;17.096,73;39;2.032,39;154.397,64;31;1.336,15;106.321,63
Ago;General;Media;Otros;Público;MTCGCD15 (MT / Escenarios Deportivos con Demanda);2;0,29;107,07;4;0,10;70,05;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;6;18,24;1.777,35;5;2,18;339,21;0;0,00;0,00;6;3,19;604,07;1;5,28;496,11;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD16 (MT / Escenarios Deportivos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;31,50;2.636,57;0;0,00;0,00;0;0,00;0,00;6;48,50;3.997,46;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD25 (MT / Estación de Carga Rápida con Demanda Horaria Diferenciada);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;4;63,62;4.337,54;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD31 (MT / Estacionales y Ocasionales);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Industrial;Público;MTCGCD03 (MT / Industrial con Demanda);0;0,00;0,00;0;0,00;0,00;1;1,77;477,90;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;4;131,51;27.817,99;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Industrial;Público;MTCGCD32 (MT / Industrial con Demanda Horaria Diferenciada);0;0,00;0,00;0;0,00;0,00;2;135,53;11.948,47;0;0,00;0,00;0;0,00;0,00;1;0,00;5,99;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;154,00;12.269,46
Ago;General;NO APLICA;Industrial;Público;REFACTIN (Industrial / Refacturaciones y Reliquidaciones);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD36 (MT / Autoconsumo con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD37 (MT / Autoconsumo con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD19 (MT / Otros con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;NO APLICA;Comercial;Público;REFACTCO (Comercial / Refacturaciones y Reliquidaciones);0;0,00;0,00;0;0,00;0,00;0;1,50;152,37;0;0,00;0,00;0;0,00;-2,88;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;-0,09
Ago;General;Media;Otros;Público;MTCGCD35 (MT / Servicio Comunitario con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;6;34,00;2.637,30;4;3,54;323,76;0;0,00;0,00;2;3,73;392,03;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD34 (MT / Servicio Comunitario con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Media;Otros;Público;MTCGCD39 (MT / Bombeo de Agua para Servicio Público de Agua con Demanda Horaria);0;0,00;0,00;32;977,18;46.786,73;1;19,95;993,62;23;854,88;42.110,30;18;856,03;44.500,41;7;81,28;1.935,74;64;5.067,59;242.059,65;0;0,00;0,00;1;267,17;12.736,84;27;465,64;23.166,44;4;450,79;20.900,02
Ago;General;Alta;Otros;Público;ATCGCD14 (AT / Asistencia Social con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;448,30;29.547,98;0;0,00;0,00;1;778,29;51.221,22;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Alta;Otros;Público;ATCGCD15 (AT / Beneficio Público con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Alta;Otros;Público;ATCGCD03 (AT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Alta;Otros;Público;ATCGCD04 (AT / Bombeo de Agua con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;367,50;19.051,21;1;14,05;22.016,64;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;1.681,91;102.874,12;0;0,00;0,00;0;0,00;0,00
Ago;General;Alta;Otros;Público;ATCGCD16 (AT / Estación de Carga Rápida con Demanda Horaria Diferenciada);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Ago;General;Alta;Industrial;Público;ATCGCD07 (AT / Industrial con Demanda Horaria Diferenciada);0;0,00;0,00;0;0,00;0,00;2;4.797,68;378.886,71;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;2.144,21;161.507,61;0;0,00;0,00;0;0,00;0,00
Ago;General;NO APLICA;Otros;Público;REFACTOT (Otros / Refacturaciones y Reliquidaciones);0;0,00;0,00;0;0,00;0,00;0;-12,53;-4.648,20;0;0,00;0,00;0;0,00;1.986,86;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,34;-3.440,26;0;0,00;0,00;0;-8,77;-232,43
